id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
1,-0.852667228,49.856,118.8,1,0,0,0,0,16.32096,0,18.762237,6.162105,9.39728,0,1,0,1,0,0,0,0,4.00E-04,0,0.9709,3.00E-04,6,6,24.7138,0,0,7,0.0565464,0.1128597
2,0.685759931,71.836,34.8,0,0,0,0,1,15.00535,44,119.94679,7.381654,10.4237,0,0,0,0,0,0,0,0,0.2999,1.00E-04,0.42,0,8,4,38.0658,0,0,7,0.65526,0.8869081
3,5.95119907,66.725,41.8,0,1,0,0,0,17.07023,27,10.879595,7.85423,12.9768,0,0,0,0,1,0,0,0,0.0051,0,0.965,0,6,6,48.3807,0,1,4,0.067855,0.1339441
4,-2.030599328,41.696,132,0,0,1,0,0,16.3146,0,9.7629269,7.545124,30.4279,0,0,0,0,1,0,0,0,0.9289,0,0.0091,1.00E-04,6,4,59.841,0,0,7,0.1332304,0.260102
5,-6.143410483,71.351,24.2,1,0,0,0,0,11.1079,31,151.58182,9.20704,0,1,0,1,0,0,0,1,0,0.8028,0,0.0051,0,5,7,175.925,0,0,3,0.3185837,0.6277294
6,-1.29041472,71.565,25.4,0,0,0,1,0,17.30379,38,11.959608,8.215269,3.37783,0,0,0,0,0,0,1,0,0.906,0.0191,0,0,5,7,14.9909,1,0,1,0.1731892,0.330825
7,0.174651401,67.879,42.3,0,0,0,0,1,15.07912,31,124.27696,7.091951,0,0,1,0,0,0,0,0,0,0.8748,2.00E-04,0.0022,1.00E-04,7,3,81.3357,0,0,5,0.2196648,0.4361013
8,2.300179205,76.994634,7.6,1,0,0,0,0,16.65255,45,2.221353,10.1866,3.26591,1,0,1,0,0,0,0,1,0.8239,0.0049,0.0094,0.0082,6,6,31.915,1,0,1,0.2974162,0.5587434
9,0.168218862,75.568293,8,0,0,0,0,0,15.85385,45,92.974691,10.2731,0.447645,0,1,0,0,0,0,0,0,0.8324,9.00E-04,0.0204,0,8,4,73.9691,1,0,1,0.2852896,0.5392365
10,3.072743776,64.827,75.9,0,0,0,0,0,15.78388,31,86.028095,7.428137,23.3367,0,1,0,0,0,0,0,0,0.0389,0.0031,0.9,0,7,3,83.0969,0,0,5,0.1851132,0.3425313
11,-0.730154846,70.705,19.6,1,0,0,0,0,12.45424,31,25.607992,9.985868,0.117247,1,0,1,0,0,1,0,0,0.8222,0.0016,0,0,6,6,110.12,0,0,2,0.2929382,0.5830948
12,2.414691577,72.39,19.6,1,0,0,0,0,13.11419,31,718.74058,9.66117,37.6808,1,0,0,1,0,0,0,0,0.0526,5.00E-04,0.8635,2.00E-04,6,6,210.161,0,0,6,0.2446785,0.4429865
13,1.147798391,58.401,99.7,1,0,0,0,0,18.48073,0,815.76893,5.572409,2.33873,0,0,1,1,0,0,0,0,0.001,0,0.883,0.006,7,5,19.6527,0,0,5,0.208174,0.4081176
14,-5.510572666,71.383,16,1,0,0,0,0,12.46987,31,605.52093,9.455229,0.592806,1,0,1,0,0,1,0,0,0.6894,1.00E-04,0.0042,4.00E-04,6,6,100.831,0,0,1,0.431135,0.8503504
15,0.265294499,70.836585,12.2,0,0,0,0,0,16.13682,31,50.23171,7.752666,1.69234,0,1,0,0,0,0,0,0,0.6964,0.0029,0.0015,1.00E-04,5,6,89.6074,0,0,4,0.4255556,0.8398061
16,-0.060744931,76.051951,8.3,0,0,0,0,0,16.11483,45,325.898,10.25529,0.000295,0,0,0,0,0,0,0,0,0.8524,0.0032,0.0316,0.002,6,6,132.332,1,0,1,0.2601248,0.4765666
17,3.152170154,71.246,31.3,1,0,0,0,0,12.14181,31,8.2223586,7.922651,0.913628,0,0,1,0,0,1,0,0,0.8673,0.0111,0.0053,0.0032,6,6,122.285,0,0,1,0.2348376,0.4452922
18,-2.339982027,53.812,107.1,0,1,0,0,0,15.42064,31,44.151259,6.186163,5.2782,0,0,0,0,1,0,0,0,0.2758,0,0.1836,0,7,6,40.6187,0,0,6,0.597977,0.8674625
19,-1.847126209,52.879,89.6,1,0,0,0,0,13.19427,45,11.499262,6.426776,20.836,0,1,1,1,0,0,0,0,0.0092,0,0.0103,0.7376,4,7,61.2636,0,0,6,0.3967551,0.7504711
20,1.437287279,55.104,85.3,0,0,0,1,0,15.74067,42,6.3290354,6.716951,10.6626,0,1,0,0,0,0,1,0,0.9543,4.00E-04,2.00E-04,7.00E-04,6,6,46.7033,0,0,2,0.0873395,0.1740119
21,0.523130015,70.877,16.1,0,0,0,0,1,15.31143,31,87.176211,6.451932,0.063613,0,0,0,0,0,0,0,0,0.51,1.00E-04,0.4037,0,8,4,101.847,1,0,6,0.5694959,0.9256806
22,-4.051502724,61.905,39.5,1,0,0,0,0,14.13608,31,2.4313377,8.226801,1.5331,0,1,1,0,1,0,0,0,0.5421,2.00E-04,0.0018,0,5,7,104.847,0,0,1,0.4982795,0.9906232
23,0.78780266,65.3,52.6,0,0,1,0,0,18.82182,45,17.869065,8.304753,2.48925,0,0,0,0,0,0,1,0,0.9538,6.00E-04,3.00E-04,0.0016,7,4,15.1618,1,0,2,0.0883529,0.1754359
24,2.333935847,71.641463,14.6,0,0,0,0,1,15.98093,45,78.80583,8.063782,0.804364,0,0,0,0,0,0,0,0,0.7657,5.00E-04,0.1235,0,7,4,69.8471,0,0,3,0.3862849,0.6462491
25,-1.372722682,49.454,99.1,0,1,0,0,0,15.99152,29,32.204072,5.613654,3.49831,0,1,0,0,1,0,0,0,0.1489,0,0.4862,0,7,6,35.4226,0,0,6,0.6082863,0.8995687
26,0.235405637,48.053,105.4,0,0,0,0,0,15.50476,30,210.88065,5.357094,9.32069,0,1,0,0,1,0,0,0,0.8962,0,0.0194,0,7,6,35.6481,0,0,7,0.1893258,0.3610429
27,-3.427594173,64.877,48.2,0,0,1,0,0,12.74222,31,84.834491,7.166003,0.259566,1,0,0,0,1,0,0,0,0.9599,0,0.0223,0,5,6,85.9516,0,0,5,0.0777779,0.1509835
28,-2.114191434,53.595,84.7,0,1,0,0,0,16.00977,0,50.834704,5.444741,20.3918,0,0,0,0,1,0,0,0,0.011,0,0.0233,0.8466,6,5,13.5338,0,0,7,0.2684197,0.4923677
29,-1.433517799,52.209,86,0,1,0,0,0,16.2764,28,24.783097,6.877133,11.3311,0,0,0,0,1,0,0,0,0.5258,0,0.212,0,7,6,37.4964,0,0,6,0.6098415,0.8689551
30,1.185462869,77.377073,6.8,1,0,0,0,0,17.14022,45,3.0561356,10.24421,3.69617,0,0,1,0,0,1,0,0,0.8789,0.0126,0.009,0.018,6,6,51.4967,1,0,1,0.2203288,0.4008066
31,-1.58985359,48.767,114.9,0,1,0,0,0,14.89385,31,4.7188995,6.000052,3.79197,0,1,0,0,1,0,0,0,0.6326,0,0.1553,0,7,6,42.3895,0,0,6,0.5307127,0.8113779
32,-1.854427145,46.952,112.1,0,1,0,0,0,15.60005,0,4.7306695,6.086896,4.51907,0,1,0,0,1,0,0,0,0.3179,0,0.47,1.00E-04,7,6,41.387,0,0,7,0.6330956,0.8857048
33,3.324024967,73.68,16.1,0,0,0,1,0,16.39891,44,17.809767,8.303574,11.8951,0,0,0,0,0,0,1,0,0.943,7.00E-04,2.00E-04,1.00E-04,6,6,64.5357,0,0,2,0.1076145,0.2145925
34,-0.559504996,69.293,42.1,0,0,0,0,0,20.85006,23,120.91551,6.142694,8.08086,0,0,0,1,0,0,0,0,0.0442,0,0.015,0.1211,6,5,29.1592,0,0,7,0.3112481,0.5444928
35,-1.01934141,68.292,28.9,0,0,0,1,0,17.34983,0,30.889198,7.921613,9.10708,0,0,0,0,0,0,1,0,0.9591,3.00E-04,6.00E-04,0,6,5,35.3864,0,0,3,0.0785267,0.156637
36,2.09972694,56.677,87.7,0,1,0,0,0,12.92779,30,221.16818,7.236032,0.937213,1,0,0,0,1,0,0,0,0.0096,0,0.98,0,7,6,51.3985,1,0,5,0.0393997,0.0776252
37,0.831942323,49.043,119.7,0,0,0,0,0,17.35979,23,15.268556,6.224655,15.8977,0,0,0,0,1,0,0,0,0.9365,0,0.0122,1.00E-04,6,6,58.7084,0,0,6,0.1201975,0.2333032
38,-1.169739559,55.954,58.8,0,1,0,0,0,14.7077,31,7.146287,7.503603,45.8424,0,0,0,0,1,0,0,0,0.8853,0,0.0112,0,7,6,99.4751,0,0,6,0.2054062,0.3984976
39,-0.385797553,75.638,14.3,0,0,0,1,0,14.94562,44,60.63445,8.07544,1.15161,0,0,0,0,0,0,1,0,0.9343,0.0014,0,7.00E-04,5,6,66.5006,0,0,1,0.1230361,0.244563
40,-3.888366134,52.486,104.1,0,1,0,0,0,16.32248,31,38.577843,7.004853,2.96867,0,0,0,0,1,0,0,0,0.294,0,0.3867,4.00E-04,7,6,58.8015,0,0,6,0.6623297,0.8880037
41,1.181908773,72.170488,11.1,0,0,0,0,0,15.37995,31,85.494545,9.094625,1.77959,0,0,0,0,0,0,0,0,0.8972,2.00E-04,0.0182,0,8,4,163.78,0,0,3,0.1875775,0.3583924
42,-0.756714223,74.644,10.5,0,0,0,1,0,16.17467,40,98.529618,8.200313,0.950497,1,0,0,0,0,1,0,0,0.7229,1.00E-04,8.00E-04,6.00E-04,6,6,71.1145,0,0,7,0.4014592,0.7993249
43,-3.20550927,76.554,9.9,1,0,0,0,0,13.54974,30,82.966883,9.76026,0.043762,1,0,0,0,0,0,0,0,0.7426,2.00E-04,0.19,0,6,6,108.608,0,0,1,0.4079294,0.7015915
44,2.613278634,71.383902,10.3,0,0,0,0,0,16.15089,31,133.73049,9.243958,0.078709,0,1,0,0,0,0,0,0,0.2978,7.00E-04,1.00E-04,0.001,8,4,78.2285,0,0,6,0.4207535,0.8369913
45,0.644396093,74.805366,7.3,0,0,0,0,0,15.45275,45,121.27716,10.51862,0.78581,0,0,0,0,0,0,0,0,0.9294,0.0013,0.0107,0.0022,6,6,69.7077,0,0,1,0.1329137,0.256418
46,2.744037351,56.678,92.2,0,1,0,0,0,13.28855,31,25.470147,6.828442,0.394821,0,0,0,0,1,0,0,0,0.0458,0,0.9371,0,7,6,132.272,0,0,6,0.1194535,0.2301001
47,1.250535838,71.963415,14.2,1,0,0,0,0,11.16939,31,94.568,8.302346,0.083573,1,0,0,0,0,1,0,0,0.965,0,0,0.0013,5,7,135.079,0,0,2,0.0676376,0.1347679
48,-0.984713225,67.866,46.4,0,0,0,1,0,15.78732,44,148.69897,7.745234,2.06139,1,0,0,0,0,1,0,0,0.8506,0,2.00E-04,2.00E-04,6,6,77.5176,0,0,2,0.2542786,0.5079483
49,0.757518265,68.99,42.4,0,0,0,1,0,16.13967,45,36.909735,7.872157,21.6567,0,0,0,0,0,0,1,0,0.9621,1.00E-04,0,1.00E-04,6,6,64.9792,0,0,2,0.0729423,0.1457974
50,1.546110428,64.58,62.9,0,0,0,0,1,17.86577,36,57.674635,6.759872,16.2348,0,0,0,0,1,0,0,0,0.1332,0,0.8598,0,6,5,52.7609,0,0,5,0.2429527,0.4762853
51,2.601313723,63.99,46.1,0,0,0,1,0,15.47469,0,253.61892,7.521454,1.29601,0,0,0,0,0,0,1,0,0.9671,1.00E-04,3.00E-04,1.00E-04,6,6,49.7825,0,0,3,0.0636677,0.1271466
52,3.214948895,48.239,121,0,0,0,1,0,12.96418,31,15.217326,7.015221,12.5787,0,0,0,0,1,0,0,0,0.9155,0,0.02,0,7,5,101.745,0,0,7,0.1572995,0.300427
53,-1.557297429,49.589,92.7,0,0,0,0,0,14.9512,31,30.824861,5.030368,0,0,0,0,0,1,0,0,0,0.4855,0,0.4863,0,6,6,56.3772,0,0,6,0.5270068,0.9741179
54,-0.233508181,69.47561,14,0,0,0,0,0,14.26606,31,37.017551,8.819529,0,0,0,0,0,0,0,0,0,0.4362,0.0011,0.0027,3.00E-04,6,6,143.718,0,0,2,0.4964569,0.9808529
55,-1.34011767,47.1,120.2,0,0,0,0,0,17.68851,0,48.086516,4.948077,6.43954,0,1,0,0,1,0,0,0,0.566,2.00E-04,0.32,0,6,6,14.4063,1,0,7,0.5642935,0.8805729
56,2.37559292,65.51,24.3,1,0,0,0,0,13.49892,31,39.881117,7.989079,2.5501,1,0,1,0,0,0,0,1,0.5689,1.00E-04,0.0692,0,6,6,129.5,0,0,6,0.5406649,0.9100859
57,0.211639065,74.813171,5.5,0,0,0,0,0,15.42223,45,16.370961,10.26795,1.03927,0,0,0,0,0,0,0,0,0.89,3.00E-04,0.0016,4.00E-04,6,6,46.6143,0,0,1,0.1962979,0.3899354
58,-0.842662493,76.6,7.4,0,0,0,0,0,17.88476,41,106.85982,10.24706,0.16175,0,0,0,0,0,0,0,0,0.7864,0.0101,0.0319,0.0054,7,5,43.8501,0,0,1,0.3528038,0.6249692
59,0.710660161,61.215,60.2,0,1,0,0,0,13.76654,30,3.695471,9.019202,34.6789,0,0,0,0,1,0,0,0,0.8627,0,0.0428,0,7,6,76.8974,0,0,4,0.2449866,0.4481019
60,2.746908593,52.176,82.4,1,0,0,0,0,13.72865,30,90.593676,6.050731,2.68751,0,0,0,0,1,0,0,0,0.0405,0,0.8586,0,6,6,131.485,0,0,2,0.250985,0.4598664
61,2.468423109,70.268,40.8,0,0,0,0,0,15.38454,31,84.012737,7.690737,0.367565,0,0,0,0,0,0,0,0,0.8458,0.0036,0.11,0,7,4,85.6379,0,0,6,0.270861,0.4906983
62,-0.500990957,75.227756,7,0,0,0,0,0,18.19042,31,227.51705,10.27381,0.238623,0,0,0,0,0,0,0,0,0.7879,6.00E-04,0.0359,9.00E-04,9,4,49.6642,1,0,1,0.3474035,0.632403
63,1.426855737,56.755,79.3,1,0,0,0,0,16.49847,28,64.28874,6.390283,4.36304,0,0,1,0,1,0,0,0,0.5514,0,0.1951,0,7,6,42.7282,0,0,6,0.5936317,0.8600109
64,0.89352177,76.939024,9.2,0,0,0,0,1,16.13758,41,79.106222,9.673008,0.243896,0,0,0,0,0,0,0,0,0.96,6.00E-04,0.0199,0,6,6,48.7495,0,0,1,0.0776234,0.1505013
65,0.071749649,68.6,18.1,1,0,0,0,0,11.47505,30,283.18529,8.311214,0,1,0,1,0,0,1,0,0,0.827,0,0,0,5,7,105.214,0,0,2,0.286142,0.572284
66,2.147875306,62.261,60.1,0,0,0,1,0,16.04163,0,86.448423,7.444263,2.7813,0,0,0,0,0,0,1,0,0.9254,1.00E-04,1.00E-04,2.00E-04,6,6,45.8695,0,0,3,0.1381291,0.2759281
67,-1.33532139,49.949,138.6,0,1,0,0,0,15.6141,33,24.585276,5.988074,18.2613,0,0,0,0,1,0,0,0,0.0382,0,0.6685,8.00E-04,6,6,64.517,0,0,6,0.4660916,0.8403199
68,0.810507153,49.071,132.3,0,0,1,0,0,13.82772,20,35.998578,6.056658,10.0373,0,0,0,0,1,0,0,0,0.1196,0,0.33,0,5,6,46.9705,0,0,6,0.5738556,0.8870331
69,0.792778808,63.29,46.6,1,0,0,0,0,13.51887,31,3.7760173,6.997415,13.995,0,0,0,0,0,0,1,0,0.4221,1.00E-04,0.08,0.0021,5,6,142.566,0,0,5,0.5697087,0.9310871
70,-0.06087659,54.609,100.3,0,1,0,0,0,15.77557,44,257.61001,6.399601,0.969877,1,0,0,0,0,1,0,0,0.915,0,3.00E-04,0,6,6,39.8075,0,0,4,0.1556008,0.3109226
71,3.223750244,66.725,45.1,0,0,0,1,0,15.41597,43,44.287497,7.045093,6.80952,0,0,0,0,0,1,0,0,0.9637,1.00E-04,0.0012,5.00E-04,5,6,77.1476,0,0,2,0.0700904,0.1394534
72,0.76124501,69.31561,15.2,0,0,0,0,0,16.15481,44,115.43327,9.051471,1.97473,0,1,0,0,0,0,0,0,0.777,0.0096,0.0016,1.00E-04,8,4,59.677,0,0,2,0.3513594,0.6802183
73,-0.394154792,78.036341,5,0,0,0,0,0,12.44834,31,2.5419052,10.62573,0,1,0,0,0,0,0,0,0,0.965,0,2.00E-04,0,7,6,65.9798,0,0,1,0.0675639,0.1350472
74,0.266458744,57.915,88.5,1,0,0,0,0,20.58416,0,292.6599,5.968736,3.56387,0,0,1,1,0,0,0,0,0.05,0,0.121,0.0071,7,5,15.239,1,0,2,0.307289,0.5424181
